"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 08 04:01:29 GMT 2025","Thu May 08 04:01:32 GMT 2025","2741","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Ingles""}",""
"passed","Thu May 08 04:01:38 GMT 2025","Thu May 08 04:01:41 GMT 2025","3103","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Aleman""}",""
"passed","Thu May 08 04:01:47 GMT 2025","Thu May 08 04:01:50 GMT 2025","3153","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Portugues""}",""
"passed","Thu May 08 04:01:56 GMT 2025","Thu May 08 04:02:00 GMT 2025","3502","Wikipedia Search","","","","","Verificar sección especifica en articulo existente {""seccion"":""Referencias""}",""
"passed","Thu May 08 04:01:35 GMT 2025","Thu May 08 04:01:38 GMT 2025","2844","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Ruso""}",""
"passed","Thu May 08 04:01:50 GMT 2025","Thu May 08 04:01:53 GMT 2025","3074","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Italiano""}",""
"passed","Thu May 08 04:01:23 GMT 2025","Thu May 08 04:01:26 GMT 2025","3755","Wikipedia Search","","","","","Busqueda fallida de un termino inexistente",""
"passed","Thu May 08 04:02:00 GMT 2025","Thu May 08 04:02:22 GMT 2025","22352","Wikipedia Search","","","","","Verificar enlaces internos en un artículo existente",""
"passed","Thu May 08 04:01:32 GMT 2025","Thu May 08 04:01:35 GMT 2025","3293","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Japones""}",""
"passed","Thu May 08 04:01:19 GMT 2025","Thu May 08 04:01:23 GMT 2025","3724","Wikipedia Search","","","","","Busqueda exitosa de un termino existente",""
"passed","Thu May 08 04:01:41 GMT 2025","Thu May 08 04:01:44 GMT 2025","2700","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Frances""}",""
"passed","Thu May 08 04:01:53 GMT 2025","Thu May 08 04:01:56 GMT 2025","2947","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Polaco""}",""
"passed","Thu May 08 04:01:44 GMT 2025","Thu May 08 04:01:47 GMT 2025","2974","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Chino""}",""
"passed","Thu May 08 04:01:26 GMT 2025","Thu May 08 04:01:29 GMT 2025","2826","Wikipedia Search","","","","","Cambio de idioma muestra el mensaje de bienvenida correspondiente {""idioma"":""Español""}",""
